custcode,prodcode,customername,product,productfamily,current_inventory,productusage,kix_loads
001d0000024IYakAAG,01td0000003afdYAAQ,Centerfire Feedyard                                   ,R4000,RAMP      ,5.85,1.41,4
001d000000JTa0HAAT,01td000000526hsAAA,Quien Sabe Feeders                             ,V0450,SB Plus   ,3.68,5.97,6
001d000000GxX33AAF,01td00000042FVzAAM,Van Ess Dairy LLC                ,T6042,OneTrak   ,5.06,2.2,1
001d000000GxWvcAAF,01td0000003afdYAAQ,Wolf Creek Feedyard              ,R4000,RAMP      ,1.81,2.19,2
001d000000GxWvgAAF,01td0000003afdYAAQ,Cactus Feedyard                                       ,R4000,RAMP      ,1.05,3.37,3
001d000000GxX0gAAF,01t0V0000053K2dQAE,Morning Star Dairy LLC                         ,T7995,OneTrak   ,1.85,7.32,6
001d000000GxWzEAAV,01t0V0000053ERwQAM,G-2 Producers - East                                  ,T7073,OneTrak   ,1.16,1.94,3
001d000000GxWwcAAF,01t0V0000053K2dQAE,VacaCo LLC                       ,T7995,OneTrak   ,5.56,1.14,2
001d000000GxWzdAAF,01td0000003u2jpAAA,Lost Trail Dairy LLC - #1                      ,T7057,OneTrak   ,1.14,2.36,3
001d000000GxWwJAAV,01td0000003afdTAAQ,Grant County Feeders                                  ,R3000,RAMP      ,1.69,2.62,3
001d000000GxWvbAAF,01td00000052V6iAAE,Stratford Feedyard                             ,V0357,SB Plus   ,4.14,5.51,6
001d000000GxWzeAAF,01td0000003u2jpAAA,Lost Trail Dairy LLC - #2                      ,T7057,OneTrak   ,1.22,1.61,2
001d000000JTa4zAAD,01t0V000004o37ZQAQ,Grande Vida LLC                                       ,T7150,OneTrak   ,1.5,1.59,2
001d000000GxWzhAAF,01t0V000004nicWQAQ,"Mc6 Cattle Feeders, Inc.                       ",V0505,SB Plus   ,1.77,3.64,4
0010V00002IawzcQAB,01t0V000004o3xNQAQ,Van Ess Legacy Dairy             ,T6130,OneTrak   ,1.99,1.16,1
001d000000GxWzhAAF,01td0000003afdTAAQ,"Mc6 Cattle Feeders, Inc.                       ",R3000,RAMP      ,1.92,0.8,1
001d000000GxWvfAAF,01td0000003afZMAAY,Frontier Feedyard                                     ,V0225,SB Plus   ,1.29,2.21,1
001d000001pvabaAAA,01td000000526hsAAA,CanTex Feeders LP                                     ,V0450,SB Plus   ,2.43,3.26,4
