customer_in_new_file,unique_customer_id,customer_name__c,check_out_customer__c,grade_family__c,grade_name__c,avg_net_weight,daily_loads,current_inventory,productusage,product_delivery_location__c_id
1,001d000000GxWvbAAF,Stratford Feedyard,12/19/2018 18:26,SB Plus,V0355,55059.56763,7,200.2503382,214.3618578,a0fd000000Gq0b8AAB
1,001d000000GxWvcAAF,Wolf Creek Feedyard,12/19/2018 16:27,RAMP,R4000,54182.68213,2,275.0721664,76.15158963,a0fd000000Ey0UiAAJ
1,001d000000GxWvcAAF,Wolf Creek Feedyard,12/19/2018 15:32,SB Plus,V0225,53706.77006,6,254.8034377,149.8545341,a0f0V00000QcwEuQAJ
1,001d000000GxWvdAAF,Ulysses Feedyard,12/17/2018 17:10,RAMP,R4000,51410.03167,1,87.07221723,35.90959669,a0fd000000Ey0UUAAZ
1,001d000000GxWveAAF,Syracuse Feedyard,12/19/2018 16:33,SB Plus,V0317,49057.07692,1,69.34242767,34.5734973, 
1,001d000000GxWvfAAF,Frontier Feedyard,12/19/2018 16:20,RAMP,R4000,53603.17177,1,118.490462,46.17892714,a0fd000000HWLKFAA5
1,001d000000GxWvfAAF,Frontier Feedyard,12/19/2018 12:27,SB Plus,V0225,54678.75034,3,189.9530624,90.13903795,a0fd000000HWLKAAA5
1,001d000000GxWvgAAF,Cactus Feedyard,12/19/2018 7:15,RAMP,R4000,54774.27975,5,164.5155244,69.23627283,a0fd000000HWLMgAAP
1,001d000000GxWvgAAF,Cactus Feedyard,12/19/2018 18:44,SB Plus,V0355,54999.62785,3,269.1228263,2.279552844,a0fd000000HLuvgAAD
1,001d000000GxWviAAF,Adcock Family Ltd Partnership-Miami,12/18/2018 21:23,SB Plus,V0055,53386.37771,2,83.12146476,41.17514609,a0fd000000OrmbhAAB
1,001d000000GxWvjAAF,Adcock Family Ltd Partnership,12/18/2018 20:14,SB Plus,V0055,53052.91592,1,88.72574935,24.17585914,a0fd000000Ormb5AAB
1,001d000000GxWvnAAF,"Sparkman Cattle Feeders, Inc.",12/19/2018 15:53,Sweet Bran,SB60,54551.69179,1,64.0572256,11.56322046,a0fd000000Ey0UGAAZ
1,001d000000GxWvsAAF,Dean Cluck Feedyard-Dimmitt,12/19/2018 15:04,SB Plus,V0435,54713.42087,2,214.2163522,113.1361758,a0fd000000LMViqAAH
1,001d000000GxWvuAAF,"Dean Cluck Feedyard, Inc.",12/19/2018 17:25,SB Plus,V0520,53199.24915,4,81.52344411,92.35106455, 
1,001d000000GxWw8AAF,Cattlemens Feedlot LTD.,12/19/2018 19:06,SB Plus,V0475,54538.1586,6,303.0299277,130.0315737,a0fd000000PO4VyAAL
1,001d000000GxWw9AAF,XIT Feeders,12/19/2018 0:12,RAMP,R3000,54707.85185,1,141.0209494,50.89868636,a0fd000000Ey0TFAAZ
1,001d000000GxWw9AAF,XIT Feeders,12/19/2018 18:53,Sweet Bran,SB60,53789.10378,6,202.1126248,157.5349165,a0fd000000LzgHkAAJ
1,001d000000GxWwJAAV,Grant County Feeders,12/19/2018 11:47,RAMP,R3000,51024.97595,2,190.6793615,102.6943098,a0fd000000Ey0TDAAZ
