plant_serves_customer,customer_name__c,non_medicated_yard__c,gps_customer_check_in_location__latitude__s,gps_customer_check_in_location__longitude__s,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,prod_delivery_name,feed_day_start__c,feed_day_end__c,inventory_maximum__c,inventory_minimum__c,inventory_target__c,unique_customer_id,product_delivery_location__c_id,,gps_lat
1,Southwest Feedyard,FALSE,34.8575,-102.3372,RAMP,R4000,43,55,Bovina,PDL-0408,515,1430,180,65,125,001d000000GxWu7AAF,a0fd000000HWLKpAAP,,
1,Cactus Feedyard,FALSE,36.0459,-102.0304,RAMP,R4000,34,55,Dalhart,PDL-0417,700,1500,280,69,110,001d000000GxWvgAAF,a0fd000000HWLMgAAP,,
1,Wrangler Feedyard,FALSE,34.6478,-101.7885,RAMP,R4000,74,55,Bovina,PDL-0411,500,1500,180,100,120,001d000000GxWu8AAF,a0fd000000HWLLEAA5,,
1,"Seedstock Investments, Inc.",FALSE,34.8247,-102.5831,Sweet Bran,SB60,39,55,Bovina,PDL-0257,600,1600,60,18,45,001d000000GxWtgAAF,a0fd000000Ey0UBAAZ,,
1,Frontier Feedyard,FALSE,36.4773,-101.2411,SB Plus,V0225,97,55,Dalhart,PDL-0403,500,1500,280,90,120,001d000000GxWvfAAF,a0fd000000HWLKAAA5,,
1,Hammink Dairy LLC,FALSE,44.501,-96.8086,OneTrak,781,229,45,Blair,PDL-0566,400,1400,100,37,80,001d000000GxX2xAAF,a0fd000000JN2KiAAL,,
1,"Klug, Bill",FALSE,41.4957,-97.2519,SB Plus,V5020,73,45,Blair,PDL-0444,600,1800,90,0,69,001d000000GxWq0AAF,a0fd000000HWLSjAAP,,
1,Ohlde Dairy LLC,FALSE,39.6954,-97.0482,OneTrak,T6015,175,45,Blair,PDL-0458,500,1400,88,33,62,001d000000GxWsIAAV,a0fd000000HWLVCAA5,,
1,Amsberry Farms LTD,FALSE,41.2572,-99.3864,Sweet Bran,SB60,187,45,Blair,PDL-0459,700,1700,60,6,45,001d000000GxX1vAAF,a0fd000000HWLVgAAP,,
1,Kansas State University,TRUE,39.2267,-96.5975,Sweet Bran,SB60,212,45,Blair,PDL-0560,600,1800,50,5,35,001d000000GxWzPAAV,a0fd000000JMZP9AAP,,
1,Ulysses Feedyard,FALSE,37.446,-101.3396,RAMP,R4000,134,55,Dalhart,PDL-0276,500,1500,250,34,200,001d000000GxWvdAAF,a0fd000000Ey0UUAAZ,,
1,Coronado Feeders,FALSE,36.0706,-102.2967,RAMP,R3000,15,55,Dalhart,PDL-0196,530,1300,110,51,90,001d000000GxX2iAAF,a0fd000000Ey0TCAAZ,,
1,Faria Brothers - Heifer,FALSE,36.0276,-102.0865,Sweet Bran,SB60,28,55,Dalhart,PDL-0178,500,1400,140,28,87,001d00000102KubAAE,a0fd000000Ey0SuAAJ,,
1,Engelmeyer Farms Inc.,FALSE,41.9194,-96.7124,Sweet Bran,SB60,54,45,Blair,PDL-0173,700,1700,60,9,46,001d000000GxX3HAAV,a0fd000000Ey0SpAAJ,,
1,P K Feeders,FALSE,41.7388,-96.7735,Sweet Bran,SB60,56,45,Blair,PDL-0243,700,1700,60,6,45,001d000000GxWp7AAF,a0fd000000Ey0TxAAJ,,
1,Doernemann Cattle LLC,FALSE,41.7682,-96.9398,Sweet Bran,SB60,66,45,Blair,PDL-0443,700,1600,65,8,40,001d000000GxWpHAAV,a0fd000000HWLSZAA5,,
1,Logan Valley Feeders Inc.,FALSE,41.8682,-96.462,Sweet Bran,SB60,40,45,Blair,PDL-0217,700,1700,60,7,50,001d000000GxWpaAAF,a0fd000000Ey0TXAAZ,,
1,Holthaus Brothers LLC,FALSE,39.7259,-96.157,Sweet Bran,SB60,167,45,Blair,PDL-0448,700,1500,60,4,45,001d000000GxWsgAAF,a0fd000000HWLTLAA5,,
1,Craig Cattle LLC,TRUE,41.7087,-96.3667,Sweet Bran,SB60,35,45,Blair,PDL-0158,630,1700,90,43,55,001d000000GxWtDAAV,a0fd000000Ey0SaAAJ,,
1,Cimarron Feeders,FALSE,36.5815,-102.243,RAMP,R3000,45,55,Dalhart,PDL-0195,530,1530,95,27,70,001d000000GxX1eAAF,a0fd000000Ey0TBAAZ,,
1,Wheeler Land & Livestock LLC,FALSE,35.4604,-100.3262,SB Plus,V0310,150,55,Dalhart,PDL-0428,500,1500,100,60,82,001d000000GxWxxAAF,a0fd000000HWLPBAA5,,
1,Smith Cattle-Proctor Ranch,FALSE,35.6653,-102.5841,RAMP,R3000,42,55,Dalhart,PDL-0350,600,1500,50,5,40,001d000000GxWxMAAV,a0fd000000GbDsOAAV,,
1,Potter Feedlot,FALSE,36.1922,-102.7223,Sweet Bran,SB60,12,55,Dalhart,PDL-0248,600,1600,55,14,40,001d000000GxWxlAAF,a0fd000000Ey0U2AAJ,,
1,Flint Rock Feeders,TRUE,36.3201,-101.3538,RAMP,R3000,79,55,Dalhart,PDL-0180,600,1600,75,14,50,001d000000GxWxSAAV,a0fd000000Ey0SwAAJ,,
