customer_name__c,non_medicated_yard__c,grade_family__c,grade_name__c,miles_round_trip__c,avg_mph__c,plant_name,feed_day_start__c,feed_day_end__c,unique_customer_id
"UNL - Beef Feedlot, ARDC",TRUE,Sweet Bran,SB60,45,45,Blair,600,1800,001d000000GxX4zAAF
"Valley View Feeders, Inc.",FALSE,Sweet Bran,SB60,212,45,Blair,700,1700,001d000000GxWq3AAF
"Urban, Dean G.",FALSE,Sweet Bran,SB60,77,45,Blair,700,1700,001d000000GxWrCAAV
Dicke Feedyards,TRUE,Sweet Bran,SB60,87,45,Blair,700,1700,001d000000GxWtQAAV
Faria Southside 1,FALSE,Sweet Bran,SB60,42,55,Bovina,500,1400,001d000001sQNU9AAO
Peterson Place-Andrew Sunderman Acct,FALSE,Sweet Bran,SB60,97,45,Blair,700,1700,001d000001rmMtAAAU
"Wordekemper Farms, Inc.",FALSE,Sweet Bran,SB60,55,45,Blair,700,1700,001d000000GxWqyAAF
T B R Inc.,FALSE,Sweet Bran,SB60,17,45,Blair,700,1400,001d000000GxWrKAAV
Deltu Farm Inc,FALSE,OneTrak,T6035,121,45,Blair,500,1400,001d000000GxWrRAAV
Kriete - Paul,FALSE,Sweet Bran,SB60,29,45,Blair,700,1600,001d000000GxWqwAAF
"Sparkman Cattle Feeders, Inc.",FALSE,Sweet Bran,SB60,44,55,Bovina,600,1600,001d000000GxWvnAAF
Kriete - John,FALSE,Sweet Bran,SB60,29,45,Blair,700,1600,001d000000GxWqvAAF
Wolff Place-Andrew Sunderman Acct,FALSE,Sweet Bran,SB60,99,45,Blair,700,1700,001d000001rmMXEAA2
D B Feedyards Inc.,FALSE,SB Plus,V5007,36,45,Blair,600,1800,001d000000GxWogAAF
Prinz Incorporated,FALSE,Sweet Bran,SB60,49,45,Blair,700,1700,001d000000GxWpAAAV
Urwiler Feeders Incorporated,FALSE,Sweet Bran,SB60,63,45,Blair,630,1700,001d000000GxWrIAAV
Engelmeyer Farms Inc.-North,FALSE,Sweet Bran,SB60,56,45,Blair,700,1700,001d000000GxWnzAAF
Kansas State Univ-Dairy Unit,TRUE,Sweet Bran,SB60,213,45,Blair,600,1800,001d000000GxWzQAAV
Orville Hoffschneider & Sons,FALSE,Sweet Bran,SB60,115,45,Blair,700,1600,001d000000GxWt4AAF
Morgan Feedlot LLC,FALSE,Sweet Bran,SB60,55,45,Blair,700,1700,001d000000ISiMgAAL
Kansas State Univ-Beef Stocker,TRUE,Sweet Bran,SB60,220,45,Blair,600,1800,001d000000GxWzOAAV
Sunderman-East,FALSE,Sweet Bran,SB60,97,45,Blair,700,1700,001d000000GxWosAAF
Daryl & Craig Deters,FALSE,OneTrak,T6070,147,45,Blair,600,1800,001d000001wwiCbAAI
CanTex Feeders LP,FALSE,SB Plus,V0450,157,55,Bovina,600,1800,001d000001pvabaAAA
"Cumming, Alan",FALSE,Sweet Bran,SB60,59,45,Blair,700,1600,001d000000GxWpFAAV
West Texas A&M University,TRUE,Sweet Bran,SB60,79,55,Bovina,600,1800,001d000000GxX0NAAV
"Nebraska ILS Feeders, Inc. dba Windmill Feeders",FALSE,Sweet Bran,SB60,155,45,Blair,700,1700,001d000000GxWrTAAV
Heine Farms Feedyard LLC,FALSE,Sweet Bran,SB60,146,45,Blair,700,1700,001d000000GxWoxAAF
Kirkland Feedyard Inc.,FALSE,SB Plus,V0170,70,55,Bovina,600,1600,001d000000GxWvZAAV
Weitzenkamp Farms Inc.-South,FALSE,Sweet Bran,SB60,40,45,Blair,700,1700,001d000000GxWojAAF
Buessing Holsteins LLC,FALSE,OneTrak,T6010,152,45,Blair,500,1400,001d000000GxWtkAAF
"Kirkham, Kelly L.",FALSE,Sweet Bran,SB60,189,45,Blair,700,1500,001d000000GxX2zAAF
Stallbaumer Cattle Feeders Inc,FALSE,Sweet Bran,SB60,158,45,Blair,700,1500,001d000000GxX2qAAF
KMC Farms Ltd.,FALSE,Sweet Bran,SB60,90,45,Blair,700,1700,001d000000GxWpBAAV
New Balance Commodities-NVF CO. LLC,FALSE,Sweet Bran,SB60,102,45,Blair,700,1700,001d000001j5wZ2AAI
Northeast Nebraska Feeders,FALSE,Sweet Bran,SB60,119,45,Blair,700,1700,001d000000GxWswAAF
Oklahoma State University,TRUE,Sweet Bran,SB60,340,55,Dalhart,600,1800,001d000000IRIHPAA5
Muller Farms Inc.,FALSE,SB Plus,V5090,40,45,Blair,700,1700,001d000000GxWohAAF
"Weiler, Steve",FALSE,Sweet Bran,SB60,54,45,Blair,700,1700,001d000000GxWquAAF
Thomsen Farms,FALSE,Sweet Bran,SB60,74,45,Blair,700,1700,001d000000GxWrxAAF
Quien Sabe Feeders,FALSE,SB Plus,V0450,86,55,Bovina,600,1800,001d000000JTa0HAAT
Quality Beef Producers LLP,FALSE,SB Plus,V0450,72,55,Bovina,600,1800,001d000000GxWwkAAF
"Spenner, Ray",FALSE,Sweet Bran,SB60,53,45,Blair,700,1500,001d000000GxWpVAAV
Ver Steegh Bros Farm Partnersh,FALSE,Sweet Bran,SB60,251,45,Blair,700,1700,001d000000GxWq6AAF
HS Farms Ltd,FALSE,SB Plus,V5042,89,45,Blair,500,1500,001d000000GxWpCAAV
Adcock Family Ltd Partnership,FALSE,SB Plus,V0055,58,55,Dalhart,600,1600,001d000000GxWvjAAF
Porter Cattle Co.,FALSE,Sweet Bran,SB60,248,45,Blair,700,1700,001d000000GxWpfAAF
Adcock Family Ltd Partnership -Miami,FALSE,SB Plus,V0055,130,55,Dalhart,600,1600,001d000000GxWviAAF
Gall Brothers Feedlot,FALSE,SB Plus,V5027,70,45,Blair,700,1600,001d000000GxWsiAAF
JDR Farms Inc - Krusemark,FALSE,Sweet Bran,SB60,75,45,Blair,700,1700,001d000000GxWqVAAV
Texas Tech University,TRUE,Sweet Bran,SB60,105,55,Bovina,600,1800,001d000000GxX0FAAV
Buessing Dairy,FALSE,OneTrak,T6020,139,45,Blair,500,1400,001d000000GxWrfAAF
Koenen Dairy,FALSE,OneTrak,T6097,129,45,Blair,500,1400,001d000000JTa4aAAD
"Coyote Lake Feedyard, Inc.",FALSE,SB Plus,V0442,35,55,Bovina,600,1600,001d000000GxWvRAAV
Tejas Feeders West,FALSE,RAMP,R3000,156,55,Bovina,500,1600,001d000002AJDz2AAH
"Spenner, Ed",FALSE,Sweet Bran,SB60,53,45,Blair,700,1500,001d000000GxWo8AAF
Cactus Feedyard Early Settlers Farms LLC,FALSE,RAMP,R4000,33,55,Dalhart,600,1800,001d000002AKdMxAAL
M Farm Inc,FALSE,Sweet Bran,SB60,104,45,Blair,500,1500,001d000001wseX3AAI
Van Ess Dairy LLC,FALSE,OneTrak,T6042,150,45,Blair,600,1800,001d000000GxX33AAF
Friona Feedyard,FALSE,SB Plus,V0395,21,55,Bovina,500,1500,001d000000GxWu2AAF
UNL - North Platte - WCREC,TRUE,Sweet Bran,SB60,287,45,Blair,600,1800,001d000000IQnVDAA1
Wilhite Cattle,FALSE,RAMP,R4000,45,55,Bovina,600,1400,001d000001zk65kAAA
Lost Trail Dairy LLC - #1,FALSE,OneTrak,T7065,50,55,Dalhart,400,1500,001d000000GxWzdAAF
Lost Trail Dairy LLC - #2,FALSE,OneTrak,T7065,49,55,Dalhart,400,1500,001d000000GxWzeAAF
